# X60418  d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__; g__; s__
# KY471008    d__Bacteria; p__Desulfobacterota; c__; o__; f__; g__; s__
# AM072763    d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
# CP001022    d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
# DQ019165    d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
# AB105164    d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
# DQ019164    d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
# AY864633    d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
DQ019167    d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
AJ846291    d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
JF893462    d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
EU379016    d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
AB680657    d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
JF775503    d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
AM072764    d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
AY594266    d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
AY818050    d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
AY594264    d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
MH375463    d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
HM103931    d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
HM103934    d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
L14326  d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
L14327  d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
Y13364  d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
Y13365  d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
AJ251987    d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
EU427463    d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
Y17280  d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
AJ242495    d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
AY272039    d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
KX822012    d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
AB037875    d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
AB021702    d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
AB037874    d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
CP016199    d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
